wall_ms,elapsed_rt_ms,kind,detail
1789420154272,990499119,hb,"recorder=1;since_fix_ms=279;fixes_this_process=117;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420159281,990504127,hb,"recorder=1;since_fix_ms=285;fixes_this_process=122;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420164290,990509136,hb,"recorder=1;since_fix_ms=292;fixes_this_process=127;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420169303,990514149,hb,"recorder=1;since_fix_ms=308;fixes_this_process=132;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420174306,990519152,hb,"recorder=1;since_fix_ms=313;fixes_this_process=137;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420179315,990524161,hb,"recorder=1;since_fix_ms=315;fixes_this_process=142;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420184329,990529175,hb,"recorder=1;since_fix_ms=336;fixes_this_process=147;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420189337,990534184,hb,"recorder=1;since_fix_ms=344;fixes_this_process=152;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420194345,990539192,hb,"recorder=1;since_fix_ms=350;fixes_this_process=157;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420199355,990544202,hb,"recorder=1;since_fix_ms=361;fixes_this_process=162;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420204363,990549210,hb,"recorder=1;since_fix_ms=365;fixes_this_process=167;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420209372,990554219,hb,"recorder=1;since_fix_ms=377;fixes_this_process=172;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420214385,990559232,hb,"recorder=1;since_fix_ms=387;fixes_this_process=177;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420219393,990564239,hb,"recorder=1;since_fix_ms=397;fixes_this_process=182;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
